"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Drug-related hospital admissions, aged 11-25 years","Scotland","S00000001","Scotland",2003,"2002/03 to 2004/05 financial years; 3-year aggregates",1605,171.6,163.29,180.22,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Drug-related hospital admissions, aged 11-25 years","Scotland","S00000001","Scotland",2004,"2003/04 to 2005/06 financial years; 3-year aggregates",1425,150.05,142.36,158.06,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Drug-related hospital admissions, aged 11-25 years","Scotland","S00000001","Scotland",2005,"2004/05 to 2006/07 financial years; 3-year aggregates",1380,143.25,135.79,151.01,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Drug-related hospital admissions, aged 11-25 years","Scotland","S00000001","Scotland",2006,"2005/06 to 2007/08 financial years; 3-year aggregates",1407,144.14,136.7,151.88,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Drug-related hospital admissions, aged 11-25 years","Scotland","S00000001","Scotland",2007,"2006/07 to 2008/09 financial years; 3-year aggregates",1449,147.27,139.78,155.06,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Drug-related hospital admissions, aged 11-25 years","Scotland","S00000001","Scotland",2008,"2007/08 to 2009/10 financial years; 3-year aggregates",1389,140.28,133,147.86,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Drug-related hospital admissions, aged 11-25 years","Scotland","S00000001","Scotland",2009,"2008/09 to 2010/11 financial years; 3-year aggregates",1284,128.53,121.59,135.76,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Drug-related hospital admissions, aged 11-25 years","Scotland","S00000001","Scotland",2010,"2009/10 to 2011/12 financial years; 3-year aggregates",1185,117.22,110.64,124.09,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Drug-related hospital admissions, aged 11-25 years","Scotland","S00000001","Scotland",2011,"2010/11 to 2012/13 financial years; 3-year aggregates",1110,108.45,102.16,115.02,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Drug-related hospital admissions, aged 11-25 years","Scotland","S00000001","Scotland",2012,"2011/12 to 2013/14 financial years; 3-year aggregates",1062,103.31,97.19,109.71,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Drug-related hospital admissions, aged 11-25 years","Scotland","S00000001","Scotland",2013,"2012/13 to 2014/15 financial years; 3-year aggregates",1065,103.99,97.83,110.44,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Drug-related hospital admissions, aged 11-25 years","Scotland","S00000001","Scotland",2014,"2013/14 to 2015/16 financial years; 3-year aggregates",1170,115.09,108.58,121.89,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Drug-related hospital admissions, aged 11-25 years","Scotland","S00000001","Scotland",2015,"2014/15 to 2016/17 financial years; 3-year aggregates",1224,121.45,114.73,128.46,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Drug-related hospital admissions, aged 11-25 years","Scotland","S00000001","Scotland",2016,"2015/16 to 2017/18 financial years; 3-year aggregates",1317,132.02,124.97,139.37,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
"Drug-related hospital admissions, aged 11-25 years","Scotland","S00000001","Scotland",2017,"2016/17 to 2018/19 financial years; 3-year aggregates",1407,142.95,135.56,150.64,"Age-sex standardised rate per 100,000","Public Health Scotland (SMR01)"
