feature_code,date_code,date_start,date_end,measurement,units,value,currently_smokes_cigarettes,type_of_tenure,household_type,gender,limiting_long_term_physical_or_mental_health_condition,age,date_diff,council_area
S12000026,2012,2012,NA,Percent,Percent Of Adults,79.9,No,All,All,All,All,All,NA,Scottish Borders
S12000030,2012,2012,NA,Percent,Percent Of Adults,78.9,No,All,All,All,All,All,NA,Stirling
S12000050,2012,2012,NA,Percent,Percent Of Adults,72.5,No,All,All,All,All,All,NA,North Lanarkshire
S12000019,2012,2012,NA,Percent,Percent Of Adults,75.6,No,All,All,All,All,All,NA,Midlothian
S12000045,2012,2012,NA,Percent,Percent Of Adults,87.9,No,All,All,All,All,All,NA,East Dunbartonshire
S12000045,2012,2012,NA,Percent,Percent Of Adults,87.9,No,All,All,All,All,All,NA,East Dunbartonshire
S12000040,2012,2012,NA,Percent,Percent Of Adults,75.8,No,All,All,All,All,All,NA,West Lothian
S12000039,2012,2012,NA,Percent,Percent Of Adults,66.3,No,All,All,All,All,All,NA,West Dunbartonshire
S12000039,2012,2012,NA,Percent,Percent Of Adults,66.3,No,All,All,All,All,All,NA,West Dunbartonshire
S12000041,2012,2012,NA,Percent,Percent Of Adults,76.7,No,All,All,All,All,All,NA,Angus
S12000041,2012,2012,NA,Percent,Percent Of Adults,76.7,No,All,All,All,All,All,NA,Angus
S12000034,2012,2012,NA,Percent,Percent Of Adults,76.7,No,All,All,All,All,All,NA,Aberdeenshire
S12000020,2012,2012,NA,Percent,Percent Of Adults,80,No,All,All,All,All,All,NA,Moray
S12000027,2012,2012,NA,Percent,Percent Of Adults,75.9,No,All,All,All,All,16-34 years,NA,Shetland Islands
S12000038,2012,2012,NA,Percent,Percent Of Adults,71.7,No,All,All,All,All,All,NA,Renfrewshire
S12000038,2012,2012,NA,Percent,Percent Of Adults,71.7,No,All,All,All,All,All,NA,Renfrewshire
S12000006,2012,2012,NA,Percent,Percent Of Adults,76.4,No,All,All,All,All,All,NA,Dumfries and Galloway
S12000019,2012,2012,NA,Percent,Percent Of Adults,83.1,No,All,All,All,All,65 years and over,NA,Midlothian
S12000005,2012,2012,NA,Percent,Percent Of Adults,86.5,No,All,All,All,All,65 years and over,NA,Clackmannanshire
S12000014,2012,2012,NA,Percent,Percent Of Adults,88.2,No,All,All,All,All,65 years and over,NA,Falkirk
S12000020,2012,2012,NA,Percent,Percent Of Adults,89.4,No,All,All,All,All,65 years and over,NA,Moray
S12000035,2012,2012,NA,Percent,Percent Of Adults,43.4,Yes,All,All,All,All,16-34 years,NA,Argyll and Bute
S12000040,2012,2012,NA,Percent,Percent Of Adults,24.2,Yes,All,All,All,All,All,NA,West Lothian
S12000045,2012,2012,NA,Percent,Percent Of Adults,12.1,Yes,All,All,All,All,All,NA,East Dunbartonshire
S12000045,2012,2012,NA,Percent,Percent Of Adults,12.1,Yes,All,All,All,All,All,NA,East Dunbartonshire
S12000041,2012,2012,NA,Percent,Percent Of Adults,23.3,Yes,All,All,All,All,All,NA,Angus
S12000041,2012,2012,NA,Percent,Percent Of Adults,23.3,Yes,All,All,All,All,All,NA,Angus
S12000028,2012,2012,NA,Percent,Percent Of Adults,15.5,Yes,All,All,All,All,All,NA,South Ayrshire
S12000036,2012,2012,NA,Percent,Percent Of Adults,20.8,Yes,All,All,All,All,16-34 years,NA,City of Edinburgh
S12000013,2012,2012,NA,Percent,Percent Of Adults,78.3,No,All,All,All,All,All,NA,Na h-Eileanan Siar
S12000018,2012,2012,NA,Percent,Percent Of Adults,70.5,No,All,All,All,All,All,NA,Inverclyde
S12000018,2012,2012,NA,Percent,Percent Of Adults,70.5,No,All,All,All,All,All,NA,Inverclyde
S12000010,2012,2012,NA,Percent,Percent Of Adults,75.2,No,All,All,All,All,All,NA,East Lothian
