feature_code,date_code,measurement,units,value,sex,age,simd_quintiles,urban_rural_classification
S12000039,2007-2009,95% Lower Confidence Limit,Years,71.81,Male,0 years,All,All
S12000039,2007-2009,95% Upper Confidence Limit,Years,73.32,Male,0 years,All,All
S12000039,2007-2009,Count,Years,72.56,Male,0 years,All,All
S12000039,2007-2009,Count,Years,78.36,Female,0 years,All,All
S12000039,2007-2009,95% Upper Confidence Limit,Years,79.04,Female,0 years,All,All
S12000039,2007-2009,95% Lower Confidence Limit,Years,77.68,Female,0 years,All,All
S12000040,2007-2009,95% Lower Confidence Limit,Years,75.35,Male,0 years,All,All
S12000040,2007-2009,95% Lower Confidence Limit,Years,79.04,Female,0 years,All,All
S12000040,2007-2009,95% Upper Confidence Limit,Years,76.44,Male,0 years,All,All
S12000040,2007-2009,Count,Years,79.53,Female,0 years,All,All
S12000040,2007-2009,95% Upper Confidence Limit,Years,80.02,Female,0 years,All,All
S12000040,2007-2009,Count,Years,75.9,Male,0 years,All,All
S92000003,2007-2009,95% Lower Confidence Limit,Years,73.2,Male,0 years,2,All
S92000003,2007-2009,Count,Years,73.42,Male,0 years,2,All
S92000003,2007-2009,Count,Years,69.6,Male,0 years,1 - most deprived,All
S92000003,2007-2009,Count,Years,80.02,Female,0 years,All,All
S92000003,2007-2009,95% Upper Confidence Limit,Years,69.84,Male,0 years,1 - most deprived,All
S92000003,2007-2009,95% Upper Confidence Limit,Years,78.32,Male,0 years,4,All
S92000003,2007-2009,95% Lower Confidence Limit,Years,69.37,Male,0 years,1 - most deprived,All
S92000003,2007-2009,95% Upper Confidence Limit,Years,75.45,Male,0 years,All,All
S92000003,2007-2009,Count,Years,75.35,Male,0 years,All,All
S92000003,2007-2009,95% Upper Confidence Limit,Years,80.11,Female,0 years,All,All
S92000003,2007-2009,95% Lower Confidence Limit,Years,75.25,Male,0 years,All,All
S92000003,2007-2009,95% Upper Confidence Limit,Years,73.65,Male,0 years,2,All
S92000003,2007-2009,95% Upper Confidence Limit,Years,80.49,Male,0 years,5 - least deprived,All
S92000003,2007-2009,95% Lower Confidence Limit,Years,80.07,Male,0 years,5 - least deprived,All
S92000003,2007-2009,95% Lower Confidence Limit,Years,77.9,Male,0 years,4,All
S92000003,2007-2009,Count,Years,80.28,Male,0 years,5 - least deprived,All
S92000003,2007-2009,95% Upper Confidence Limit,Years,83.72,Female,0 years,5 - least deprived,All
S92000003,2007-2009,95% Upper Confidence Limit,Years,76.54,Female,0 years,1 - most deprived,All
S92000003,2007-2009,Count,Years,76.32,Female,0 years,1 - most deprived,All
S92000003,2007-2009,95% Lower Confidence Limit,Years,79.93,Female,0 years,All,All
S92000003,2007-2009,95% Lower Confidence Limit,Years,83.34,Female,0 years,5 - least deprived,All
S92000003,2007-2009,95% Lower Confidence Limit,Years,79.97,Female,0 years,3,All
S92000003,2007-2009,Count,Years,83.53,Female,0 years,5 - least deprived,All
S92000003,2007-2009,95% Upper Confidence Limit,Years,78.91,Female,0 years,2,All
S92000003,2007-2009,Count,Years,80.17,Female,0 years,3,All
S92000003,2007-2009,95% Lower Confidence Limit,Years,76.11,Female,0 years,1 - most deprived,All
S92000003,2007-2009,Count,Years,78.71,Female,0 years,2,All
S92000003,2007-2009,95% Upper Confidence Limit,Years,76.09,Male,0 years,3,All
S92000003,2007-2009,Count,Years,78.11,Male,0 years,4,All
S92000003,2007-2009,Count,Years,75.87,Male,0 years,3,All
S92000003,2007-2009,95% Lower Confidence Limit,Years,75.66,Male,0 years,3,All
S92000003,2007-2009,95% Upper Confidence Limit,Years,80.36,Female,0 years,3,All
S92000003,2007-2009,Count,Years,81.68,Female,0 years,4,All
S92000003,2007-2009,95% Upper Confidence Limit,Years,81.87,Female,0 years,4,All
S92000003,2007-2009,95% Lower Confidence Limit,Years,81.5,Female,0 years,4,All
