FeatureCode,DateCode,Measurement,Units,Value,Currently Smokes Cigarettes,Type Of Tenure,Household Type,Gender,Limiting Long-term Physical or Mental Health Condition,Age
S13002708,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,66.1,No,All,All,All,All,All
S08000029,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,72.6,No,All,Adults,All,All,All
S13002641,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,57.5,No,All,All,All,All,All
S13002487,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,65.1,No,All,All,All,All,All
S16000078,2016-2017,Percent,Percent Of Adults,86.3,No,All,All,All,All,All
S92000003,2014-2017,Percent,Percent Of Adults,79.9,No,All,All,All,All,All
S16000088,2012-2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,75.9,No,All,All,All,All,All
S13002708,2012-2015,Percent,Percent Of Adults,72.3,No,All,All,All,All,All
S16000074,2016-2017,Percent,Percent Of Adults,79.1,No,All,All,All,All,All
S12000049,2013,Percent,Percent Of Adults,69.6,No,All,Adults,All,All,All
S14000049,2016-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,82.4,No,All,All,All,All,All
S13002703,2012-2015,Percent,Percent Of Adults,78.1,No,All,All,All,All,All
S12000042,2018,Percent,Percent Of Adults,75.5,No,All,All,All,All,All
S08000019,2013,Percent,Percent Of Adults,73.4,No,All,Adults,All,All,All
S12000023,2017,Percent,Percent Of Adults,72.5,No,All,Adults,All,All,All
S12000038,2013,Percent,Percent Of Adults,79.3,No,All,Adults,All,All,All
S13002482,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,71.7,No,All,All,All,All,All
S13002480,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,69.8,No,All,All,All,All,All
S08000019,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,75.8,No,All,Adults,All,All,All
S12000023,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,70.2,No,All,Adults,All,All,All
S13002504,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,94.8,No,All,All,All,All,All
S12000021,2016-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,71.9,No,All,All,All,All,All
S13002658,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,65.1,No,All,All,All,All,All
S12000045,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,91.2,No,All,All,All,All,All
S13002485,2014-2017,Percent,Percent Of Adults,84,No,All,All,All,All,All
S12000010,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,89.6,No,All,Adults,All,All,All
S13002680,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,69.7,No,All,All,All,All,All
S12000035,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,71.5,No,All,Adults,All,All,All
S12000023,2013,Percent,Percent Of Adults,74.8,No,All,Adults,All,All,All
S12000034,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,86.3,No,All,Adults,All,All,All
S12000021,2016-2017,Percent,Percent Of Adults,75.2,No,All,All,All,All,All
S12000040,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,85.7,No,All,Adults,All,All,All
S13002834,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,71.5,No,All,All,All,All,All
S12000036,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,71.4,No,All,Adults,All,All,All
S13002672,2012-2015,Percent,Percent Of Adults,80.6,No,All,All,All,All,All
S13002507,2014-2017,Percent,Percent Of Adults,86.4,No,All,All,All,All,All
S13002487,2014-2017,Percent,Percent Of Adults,71.7,No,All,All,All,All,All
S12000050,2017,Percent,Percent Of Adults,74.2,No,All,Adults,All,All,All
S08000017,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,76.7,No,All,Adults,All,All,All
S13002738,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,76,No,All,All,All,All,All
S12000006,2016-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,80.2,No,All,All,All,All,All
S12000005,2016-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,75.5,No,All,All,All,All,All
S13002630,2012-2015,Percent,Percent Of Adults,66.1,No,All,All,All,All,All
S14000047,2016-2017,Percent,Percent Of Adults,73.6,No,All,All,All,All,All
S12000019,2015,Percent,Percent Of Adults,74,No,All,Adults,All,All,All
S12000027,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,84.5,No,All,Adults,All,All,All
S12000049,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,71.3,No,All,Adults,All,All,All
S08000022,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,76.3,No,All,Adults,All,All,All
S12000008,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,78.6,No,All,Adults,All,All,All
S08000031,2015,Percent,Percent Of Adults,77.2,No,All,All,All,All,All
S13002732,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,80.2,No,All,All,All,All,All
S13002532,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,83.4,No,All,All,All,All,All
S08000016,2013,Percent,Percent Of Adults,64.2,No,All,Adults,All,All,All
S12000035,2014,Percent,Percent Of Adults,73.1,No,All,Adults,All,All,All
S13002671,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,83.2,No,All,All,All,All,All
S13002642,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,69.7,No,All,All,All,All,All
S13002640,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.5,No,All,All,All,All,All
S13002675,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,86,No,All,All,All,All,All
S14000047,2016-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,69.1,No,All,All,All,All,All
S12000045,2012-2015,Percent,Percent Of Adults,87.4,No,All,All,All,All,All
S12000039,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.4,No,All,Adults,All,All,All
S12000041,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,84.5,No,All,Adults,All,All,All
S13002714,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,84.1,No,All,All,All,All,All
S14000051,2016-2017,Percent,Percent Of Adults,81.2,No,All,All,All,All,All
S13002641,2012-2015,Percent,Percent Of Adults,64.1,No,All,All,All,All,All
S13002629,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,64.9,No,All,All,All,All,All
S12000010,2017,Percent,Percent Of Adults,76.3,No,All,Adults,All,All,All
S13002729,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,72,No,All,All,All,All,All
S12000036,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,83.4,No,All,Adults,All,All,All
S13002520,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,90.4,No,All,All,All,All,All
S12000011,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,93.5,No,All,Adults,All,All,All
S12000029,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,77.2,No,All,All,All,All,All
